Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon
Asistente virtual,Electrónicos,164300.0,6900.0,16/01/2021,Pedro Gomez,Bogotá,4,Tarjeta de crédito,8,4.60971,-74.08175
Mesa de comedor,Muebles,192300.0,8400.0,18/05/2022,Beatriz Morales,Medellín,1,Tarjeta de crédito,4,6.25184,-75.56359
Juego de mesa,Juguetes,209600.0,15900.0,15/03/2021,Juan Fernandez,Cartagena,1,Tarjeta de crédito,1,10.39972,-75.51444
Microondas,Electrodomésticos,757500.0,41000.0,03/05/2022,Juan Fernandez,Cali,4,Nequi,1,3.43722,-76.5225
Silla de oficina,Muebles,335200.0,20200.0,07/11/2020,Maria Alfonso,Medellín,5,Nequi,1,6.25184,-75.56359
Bloques de construcción,Juguetes,24200.0,0.0,03/12/2020,Beatriz Morales,Cali,5,Cupón,1,3.43722,-76.5225
Muñeca bebé,Juguetes,44200.0,0.0,07/08/2021,Juan Fernandez,Bogotá,3,Nequi,1,4.60971,-74.08175
Lavavajillas,Electrodomésticos,1189700.0,63700.0,18/06/2021,Felipe Santos,Santa Marta,5,Tarjeta de crédito,10,11.24079,-74.19904
Lavadora de ropa,Electrodomésticos,1518200.0,79000.0,08/01/2022,Izabela de León,Bogotá,1,Tarjeta de crédito,5,4.60971,-74.08175
Carrito de control remoto,Juguetes,75200.0,5100.0,24/02/2020,Beatriz Morales,Bogotá,5,Nequi,1,4.60971,-74.08175
Refrigerador,Electrodomésticos,2431300.0,127600.0,03/04/2020,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175
Lavavajillas,Electrodomésticos,1417100.0,75700.0,05/07/2021,Rafael Acosta,Cartagena,5,Tarjeta de crédito,1,10.39972,-75.51444
Auriculares,Electrónicos,91800.0,5300.0,20/02/2020,Rafael Acosta,Medellín,1,Tarjeta de crédito,5,6.25184,-75.56359
Olla de presión,Artículos para el hogar,66700.0,1700.0,10/09/2020,Izabela de León,Pereira,4,Tarjeta de crédito,2,4.81333,-75.69611
Bicicleta,Deportes y diversión,613300.0,30800.0,04/09/2020,Juan Fernandez,Bogotá,2,Tarjeta de crédito,8,4.60971,-74.08175
Ciencia de datos con Python,Libros,56900.0,1200.0,16/12/2020,Izabela de León,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225
Balón de voleibol,Deportes y diversión,58900.0,1300.0,03/05/2022,Pedro Gomez,Medellín,2,Nequi,1,6.25184,-75.56359
Ajedrez de madera,Juguetes,29600.0,1800.0,22/07/2021,Izabela de León,Santa Marta,5,Tarjeta de crédito,2,11.24079,-74.19904
TV LED UHD 4K,Electrónicos,1891700.0,107900.0,09/01/2022,Beatriz Morales,Bogotá,3,Tarjeta de crédito,5,4.60971,-74.08175
Juego de mesa,Juguetes,138900.0,9800.0,10/01/2020,Izabela de León,Medellín,4,Tarjeta de crédito,4,6.25184,-75.56359
Microondas,Electrodomésticos,435700.0,23400.0,11/03/2021,Izabela de León,Cali,5,Cupón,1,3.43722,-76.5225
Vaso térmico,Deportes y diversión,50800.0,3100.0,11/07/2022,Camila Rivera,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175
Bicicleta,Deportes y diversión,514500.0,27600.0,21/04/2022,Maria Alfonso,Medellín,3,Tarjeta de crédito,10,6.25184,-75.56359
Kit de bancas,Muebles,293500.0,13800.0,06/03/2023,Camila Rivera,Bogotá,4,Tarjeta de crédito,3,4.60971,-74.08175
Dashboards con Power BI,Libros,33500.0,0.0,14/02/2023,Pedro Gomez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359
Cubertería,Artículos para el hogar,47900.0,3300.0,20/03/2021,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175
Set de ollas,Artículos para el hogar,139300.0,8100.0,06/03/2023,Beatriz Morales,Medellín,5,Nequi,1,6.25184,-75.56359
Batería,Instrumentos musicales,583900.0,29300.0,14/09/2020,Juliana Costa,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175
Cuerda para saltar,Deportes y diversión,18400.0,1200.0,18/07/2020,Felipe Santos,Barranquilla,1,Tarjeta de crédito,4,10.96854,-74.78132
Carrito de control remoto,Juguetes,79100.0,2400.0,15/12/2021,Ángel Rodriguez,Bogotá,4,Cupón,1,4.60971,-74.08175
Estufa,Electrodomésticos,564200.0,28200.0,08/09/2021,Mariana Herrera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359
Juego de mesa,Juguetes,153900.0,6400.0,15/08/2021,Ángel Rodriguez,Medellín,3,Tarjeta de crédito,3,6.25184,-75.56359
Cama box,Muebles,331400.0,17900.0,04/02/2020,Felipe Santos,Medellín,2,Tarjeta de crédito,5,6.25184,-75.56359
Vaso térmico,Deportes y diversión,55600.0,7700.0,26/04/2020,Juliana Costa,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Bloques de construcción,Juguetes,24700.0,1700.0,13/05/2021,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175
Vaso térmico,Deportes y diversión,62300.0,1500.0,22/05/2022,Felipe Santos,Medellín,3,Tarjeta de crédito,1,6.25184,-75.56359
Impresora,Electrónicos,300200.0,16200.0,16/08/2021,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,8,4.60971,-74.08175
Mesa de noche,Muebles,305400.0,16700.0,31/07/2021,Camila Rivera,Cali,5,Tarjeta de crédito,3,3.43722,-76.5225
Dashboards con Power BI,Libros,30500.0,7500.0,17/08/2020,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175
Cama box,Muebles,327200.0,15600.0,21/09/2021,Mariana Herrera,Villavicencio,5,Tarjeta de crédito,1,4.142,-73.62664
Auriculares,Electrónicos,68300.0,1800.0,16/09/2022,Rafael Acosta,Cali,5,Cupón,1,3.43722,-76.5225
Armario,Muebles,513400.0,25500.0,02/08/2021,Mariana Herrera,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225
Dinosaurio Rex,Juguetes,13900.0,3100.0,27/04/2021,Izabela de León,Medellín,4,Nequi,1,6.25184,-75.56359
Microondas,Electrodomésticos,362000.0,17500.0,19/02/2021,Juliana Costa,Bogotá,1,Tarjeta de crédito,5,4.60971,-74.08175
Juego de mesa,Juguetes,240300.0,11000.0,26/03/2022,Juan Fernandez,Bogotá,4,Tarjeta de crédito,12,4.60971,-74.08175
Bicicleta,Deportes y diversión,428300.0,21000.0,17/12/2021,Juliana Costa,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Guitarra eléctrica,Instrumentos musicales,679000.0,34300.0,24/02/2023,Juan Fernandez,Inírida,4,Tarjeta de crédito,4,3.8653,-67.9239
Set de ollas,Artículos para el hogar,100900.0,5600.0,19/07/2021,Mariana Herrera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Secadora de ropa,Electrodomésticos,739700.0,39900.0,05/05/2020,Izabela de León,Cali,5,Nequi,1,3.43722,-76.5225
Sofá reclinable,Muebles,630000.0,31700.0,26/12/2022,Rafael Acosta,Cúcuta,2,Tarjeta de crédito,10,7.89391,-72.50782
Tablet ABXY,Electrónicos,1130300.0,58400.0,08/03/2023,Mariana Herrera,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225
Kit de bancas,Muebles,318900.0,17200.0,19/12/2021,Lucas Olivera,Medellín,5,Nequi,1,6.25184,-75.56359
Impresora,Electrónicos,297000.0,16200.0,06/08/2022,Mariana Herrera,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Batería,Instrumentos musicales,402200.0,21800.0,30/12/2020,Camila Rivera,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225
Cubo mágico 8x8,Juguetes,17100.0,0.0,03/09/2021,Camila Rivera,Medellín,4,Nequi,1,6.25184,-75.56359
Set de vasos,Artículos para el hogar,38700.0,2500.0,16/04/2020,Rafael Acosta,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175
Tablet ABXY,Electrónicos,605800.0,33500.0,14/02/2023,Maria Alfonso,Cúcuta,4,Tarjeta de crédito,1,7.89391,-72.50782
Lavavajillas,Electrodomésticos,1122700.0,60000.0,28/02/2020,Juan Fernandez,Bogotá,3,Tarjeta de crédito,2,4.60971,-74.08175
Auriculares,Electrónicos,125900.0,7100.0,10/12/2021,Felipe Santos,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175
Dinosaurio Rex,Juguetes,18300.0,1400.0,01/07/2021,Blanca Ramirez,Medellín,4,Tarjeta de crédito,6,6.25184,-75.56359
Cuerda para saltar,Deportes y diversión,12800.0,0.0,25/09/2021,Blanca Ramirez,Manizales,3,Tarjeta de crédito,5,5.06889,-75.51738
Silla de oficina,Muebles,423500.0,20700.0,23/05/2022,Blanca Ramirez,Bogotá,5,Cupón,1,4.60971,-74.08175
Impresora,Electrónicos,315200.0,15000.0,01/09/2022,Beatriz Morales,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359
Modelado predictivo,Libros,74100.0,2100.0,24/08/2020,Felipe Santos,Bogotá,5,Tarjeta de débito,1,4.60971,-74.08175
Mesa de noche,Muebles,293800.0,16000.0,17/08/2021,Izabela de León,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Iphone 15,Electrónicos,2525400.0,135000.0,03/03/2023,Maria Alfonso,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359
Secadora de ropa,Electrodomésticos,1200300.0,64100.0,02/01/2022,Camila Rivera,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359
Modelado predictivo,Libros,53000.0,1000.0,31/03/2023,Izabela de León,Cali,3,Tarjeta de crédito,3,3.43722,-76.5225
Kit de bancas,Muebles,250100.0,14600.0,09/09/2020,Rafael Acosta,Neiva,5,Tarjeta de crédito,7,2.9273,-75.28189
Estufa,Electrodomésticos,680900.0,34400.0,05/06/2022,Beatriz Morales,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Mochila,Deportes y diversión,111000.0,4100.0,01/02/2022,Juan Fernandez,Bogotá,4,Nequi,1,4.60971,-74.08175
Tablet ABXY,Electrónicos,1196000.0,61900.0,04/03/2023,Beatriz Morales,Medellín,5,Tarjeta de crédito,10,6.25184,-75.56359
Balón de baloncesto,Deportes y diversión,45100.0,7100.0,28/01/2021,Santiago Silva,Bucaramanga,4,Cupón,1,7.12539,-73.1198
Mesa de noche,Muebles,284200.0,16400.0,17/07/2022,Rafael Acosta,Cali,3,Tarjeta de crédito,1,3.43722,-76.5225
Armario,Muebles,490400.0,24300.0,06/09/2021,Camila Rivera,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175
Auriculares con micrófono,Electrónicos,143600.0,7900.0,01/05/2020,Blanca Ramirez,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175
Auriculares,Electrónicos,139100.0,7600.0,28/10/2022,Rafael Acosta,Valledupar,2,Nequi,1,10.46314,-73.25322
Carrito de control remoto,Juguetes,84600.0,4900.0,02/11/2021,Pedro Gomez,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Batería,Instrumentos musicales,401900.0,19600.0,01/03/2023,Felipe Santos,Medellín,5,Tarjeta de crédito,8,6.25184,-75.56359
Iphone 15,Electrónicos,2172400.0,113900.0,11/09/2022,Lucas Olivera,Bogotá,5,Nequi,1,4.60971,-74.08175
Sillón,Muebles,296400.0,14000.0,23/01/2021,Mariana Herrera,Barranquilla,4,Tarjeta de crédito,4,10.96854,-74.78132
Silla de oficina,Muebles,368700.0,19800.0,10/12/2020,Juliana Costa,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175
Juego de mesa,Juguetes,130800.0,5200.0,02/10/2021,Camila Rivera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Iphone 15,Electrónicos,1396500.0,74800.0,23/04/2020,Blanca Ramirez,Medellín,5,Tarjeta de crédito,9,6.25184,-75.56359
Balón de baloncesto,Deportes y diversión,42100.0,6900.0,27/10/2022,Lucas Olivera,Cartagena,5,Tarjeta de crédito,2,10.39972,-75.51444
Muñeca bebé,Juguetes,44800.0,2600.0,20/12/2020,Maria Alfonso,Pasto,5,Tarjeta de crédito,10,1.21361,-77.28111
Set de vasos,Artículos para el hogar,35300.0,2300.0,23/07/2020,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Silla de oficina,Muebles,444800.0,24100.0,05/05/2022,Santiago Silva,Medellín,5,Nequi,1,6.25184,-75.56359
Silla de oficina,Muebles,412500.0,20200.0,29/07/2021,Felipe Santos,Bogotá,1,Tarjeta de crédito,7,4.60971,-74.08175
Vaso térmico,Deportes y diversión,59800.0,4200.0,30/12/2020,Juliana Costa,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175
Muñeca bebé,Juguetes,42000.0,0.0,22/01/2021,Izabela de León,Cali,2,Tarjeta de crédito,7,3.43722,-76.5225
Impresora,Electrónicos,288300.0,13500.0,16/05/2020,Rafael Acosta,Bogotá,5,Nequi,1,4.60971,-74.08175
